  1: 종류 | 아이템 이름 | 재료 | 개수 | 보스 | 레벨
101:  |  | 적염마의 피 | 1 | 화염의 폭군 갈라무드 | 340
102:  |  | 별의 파편 | 1 | 별의 정령 알갈론 | 340
103:  |  | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | 340
104: 보조장비 | 성주의 정화록 | 보도-지고의 영광경 |  | 조합템 | 
105:  | 성주의 정화록 | 혼돈의 족쇄 | 1 | 봉인된 파멸의 힘 카시아르 | Lv.380
106:  | 성주의 정화록 | 그림자의 핵 | 1 | 봉인된 영혼의 족쇄 | Lv.380
107:  | 성주의 정화록 | 파멸의 재 | 1 | 봉인된 파멸의 힘 카시아르 | Lv.380
108:  | 성주의 정화록 | 그림자의 사지 | 1 | 망령 메르겔 | Lv.360
109:  | 성주의 정화록 | 천수화의 조각 | 1 | 여왕 아즈사라 | Lv.360
110:  | 성주의 정화록 | 독무의 결정 | 1 | 역병의 근원 마이어스 | Lv.360
111:  | 보도-지고의 영광경 | 영광의 주문서 |  | 조합템 | 
112:  | 보도-지고의 영광경 | 영혼 정화의 성목 | 1 | 빛의 그레일린 | Lv.360
113:  | 보도-지고의 영광경 | 심빙의 송곳 | 1 | 얼음 그림자 아퀼리스 | Lv.360
114:  | 보도-지고의 영광경 | 멸세의 화염깃 | 1 | 작열하는 용 이그닐 | Lv.340
115:  | 보도-지고의 영광경 | 은하의 모래 | 1 | 별의 정령 알칼론 | Lv.340
116:  | 보도-지고의 영광경 | 고대의 비전 | 1 | 용암 화염수 | Lv.320
117:  | 보도-지고의 영광경 | 마도서 | 1 | 마리안느 | Lv.300
118:  | 영광의 주문서 | 천상의 징표 | 1 | 전쟁의 천사 임페리우스 | Lv.340
119:  | 영광의 주문서 | 성서 | 1 | 성역의 대사제 | Lv.320
120:  | 영광의 주문서 | 폭염 결정의 정수 | 1 | 용암 화염수 | Lv.320
121:  | 영광의 주문서 | 세라프의 깃털 | 1 | 성역의 대주교 | Lv.320
122:  | 영광의 주문서 | 빛의 문장 조각 | 1 | 성역의 대사제 | Lv.320
123: 마나석 | 각인-별의 축복 | 천상의 수호석 |  | 조합템 | 
124:  | 각인-별의 축복 | 고대 해양의 기억 |  | 조합템 | 
125:  | 각인-별의 축복 | 영원의 기어 | 1 | TitonX-4060 | Lv.380
126:  | 각인-별의 축복 | 파멸의 재 | 1 | 봉인된 파멸의 힘 카시아르 | Lv.380
127:  | 각인-별의 축복 | 영혼 문양 | 1 | 봉인된 영혼의 족쇄 | Lv.380
128:  | 각인-별의 축복 | 명해의 수정 가지 | 1 | 여왕 아즈사라 | Lv.360
129:  | 각인-별의 축복 | 영혼 정화의 성목 | 1 | 빛의 그레일린 | Lv.360
130:  | 천상의 수호석 | 성스러운 빛의 수호석 |  | 조합템 | 
131:  | 천상의 수호석 | 영혼 정화의 성목 | 1 | 빛의 그레일린 | Lv.360
132:  | 천상의 수호석 | 심빙의 성목 | 1 | 얼음 그림자 아퀼리스 | Lv.360
133:  | 천상의 수호석 | 자연의 씨앗 | 1 | 수호자 노렌 | Lv.340
134:  | 천상의 수호석 | 성스러운 결정 | 1 | 전생의 천사 임페리우스 | Lv.340
135:  | 천상의 수호석 | 신앙의 핵 | 1 | 성역의 대사제 | Lv.320
136:  | 천상의 수호석 | 성스러운 결정 | 1 | 산타클로스 | Lv.240
137:  | 고대 해양의 기억 | 생명의 근원 결정 |  | 조합템 | 
138:  | 고대 해양의 기억 | 생명석 | 1 | 수호자 노렌 | Lv.340
139:  | 고대 해양의 기억 | 정화의 모래 | 1 | 심해의 마녀 바쉬 | Lv.320
140:  | 고대 해양의 기억 | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | Lv.340
141:  | 고대 해양의 기억 | 빙옥의 결정 | 1 | 빙하의 죽음벌래 형제 | Lv.320
142:  | 고대 해양의 기억 | 물의 정수 | 1 | 심해 거인 레비아탄 | Lv.260
143:  | 성스러운 빛의 수호석 | 생명의 근원 결정 |  | 조합템 | 
144:  | 성스러운 빛의 수호석 | 은하의 모래 | 1 | 별의 정령 알갈론 | Lv.340
145:  | 성스러운 빛의 수호석 | 자연의 씨앗 | 1 | 수호자 노렌 | Lv.340
146:  | 성스러운 빛의 수호석 | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | Lv.340
147:  | 성스러운 빛의 수호석 | 빛의 문장 조각 | 1 | 성역의 대사제 | Lv.320
148:  | 성스러운 빛의 수호석 | 암흑의 회한 | 1 | 마리안느 | Lv.300
149:  | 생명의 근원 결정 | 고대 수호자의 심장 |  | 조합템 | 
150:  | 생명의 근원 결정 | 푸른 바람의 호박 | 1 | 심해의 마녀 바쉬 | Lv.320
151:  | 생명의 근원 결정 | 신앙의 핵 | 1 | 성역의 대사제 | Lv.320
152:  | 생명의 근원 결정 | 고대의 비전 | 1 | 용암 화염수 | Lv.320
153:  | 고대 수호자의 심장 | 대지 수호자의 핵 | 1 | 대지 수호자 로샨 | Lv.260
154:  | 고대 수호자의 심장 | 물의 정수 | 1 | 심해 거인 레비아탄 | Lv.260
155:  | 고대 수호자의 심장 | 고대 마나석 | 1 | 대지 수호자 로샨 | Lv.260
156:  | 고대 수호자의 심장 | 철광석*18 | 1 | 광산채굴 | Lv.1
